Places,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
Beijing,7535,2639,1971,1658,3696,84742,87475,106.5,1.3,24046
Tianjing,7344,1881,1854,1556,2254,61514,93173,107.5,3.6,20024
Hebei,4211,1542,1502,1047,1204,38658,36584,104.1,3.7,12531
Shanxi1,3856,1529,1439,906,1506,44236,33628,108.8,3.3,12212
Neimenggu,5463,2730,1584,1354,1972,46557,63886,109.6,3.7,17717
Liaoning,5809,2042,1433,1310,1844,41858,56649,107.7,3.6,16594
Jilin,4635,2045,1594,1448,1643,38407,43415,111,3.7,14614
Heilongjiang,4687,1807,1337,1181,1217,36406,35711,104.8,4.2,12984
Shanghai,9656,2111,1790,1017,3724,78673,85373,106,3.1,26253
Jianghu,6658,1916,1437,1058,3078,50639,68347,112.6,3.1,18825
Zhejiang,7552,2110,1552,1228,2997,50197,63374,104.5,3,21545
Anhui,5815,1541,1397,1143,1933,44601,28792,105.3,3.7,15012
Fujian,7317,1634,1754,773,2105,44525,52763,104.6,3.6,18593
Jiangxi,5072,1477,1174,671,1487,38512,28800,106.7,3,12776
Shandong,5201,2197,1572,1005,1656,41904,51768,106.9,3.3,15778
Henan,4607,1886,1191,1085,1525,37338,31499,106.8,3.1,13733
Hubei,5838,1783,1371,1030,1652,39846,38572,105.6,3.8,14496
Hunan,5442,1625,1302,918,1738,38971,33480,105.7,4.2,14609
Guangdong,8258,1521,2100,1048,2954,50278,54095,107.9,2.5,22396
Guangxi,5553,1146,1377,884,1626,36386,27952,107.5,3.4,14244
Hainan,6556,865,1521,993,1320,39485,32377,107,2,14457
Chongqing,6870,2229,1177,1102,1471,44498,38914,107.8,3.3,16573
Sichuan,6074,1651,1284,773,1587,42339,29608,105.9,4,15050
Guizhou,4993,1399,1014,655,1396,41156,19710,105.5,3.3,12586
Yunnan,5468,1760,974,939,1434,37629,22195,108.9,4,13884
Xizang,5518,1362,845,467,550,51705,22936,109.5,2.6,11184
Shanxi2,5551,1789,1322,1212,2079,43073,38564,109.4,3.2,15333
Gansu,4602,1631,1288,1050,1388,37679,21978,108.6,2.7,12847
Qinghai,4667,1512,1232,906,1097,46483,33181,110.6,3.4,12346
Ningxia,4769,1876,1193,1063,1516,47436,36394,105.5,4.2,14067
Xinjiang,5239,2031,1167,1028,1281,44576,33796,114.8,3.4,13892
