扮寂,y,x1,x2,x3,x4,x5,x6,x7
2015定,686449.6,19397,137462,77451,80247.69,36830.73,175877.77,2560
2014定,644791.1,17778,136782,77253,80615.14,23525.72,151785.56,2529
2013定,590422.4,16190,136072,76977,74870.67,16093.98,140212.1,2491
2012定,539116.5,14699,135404,76704,64412.79,14558.29,125952.97,2442
2011定,484753.2,13134,134735,76420,57824.43,10079.2,109247.79,2409
2010定,411265.2,10919,134091,76105,45027.01,12323.54,89874.16,2358
2009定,348498.5,9514,133450,75828,36428.23,13411.32,76299.93,2305
2008定,321500.5,8707,132802,75564,30881.17,20868.41,62592.66,2263
2007定,270844,7572,132129,75321,25005.01,20330.2,49781.35,1908
2006定,219028.5,6416,131448,74978,19333.1,14220.3,40422.73,1867
2005定,185998.9,5771,130756,74647,15427.2,8374.4,33930.28,1792
2004定,161415.4,5138,129988,74264,13464.1,2667.5,28486.89,1731
2003定,136576.3,4606,129227,73736,10792.3,2092.3,24649.95,1552
2002定,120480.4,4301,128453,73280,9407.1,2517.6,22053.15,1396
2001定,109276.2,3987,127627,72797,8339.1,1865.2,18902.58,1225
2000定,99066.1,3721,126743,72085,7594.1,1995.6,15886.5,1041
1999定,89366.5,3346,125786,71394,7058.8,2423.4,13187.67,1071
1998定,83817.6,3126,124761,70637,6393.8,3597.5,10798.18,1022
1997定,78802.9,2978,123626,69820,5370.7,3354.2,9233.56,1020
1996定,70779.6,2765,122389,68950,5198.5,1019,7937.55,1032
